episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,85,-2.3986917404857633
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,85,-1.9278432522699922
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,human,44,-1.2392933038464058
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,44,-2.757971897621997
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,44,-3.028763040561141
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,44,-1.8913751970420152
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,44,-2.2833144108517125
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,44,-2.196964961785991
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,44,-2.057475123518209
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,human,174,-1.2979829530728637
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,174,-3.1658704058685703
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,174,-3.942261679342029
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,174,-2.0504254761975655
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,174,-2.243173921543511
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,174,-2.223969706291918
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,174,-2.1790097160158064
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,human,7,-2.1479662458546462
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,7,-2.1547820749460107
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,7,-4.906735087146532
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,7,-3.4619068261381996
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,7,-4.147273422149863
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,7,-3.9539977383155542
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,7,-3.873812598500975
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,human,17,-2.259731235613034
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,17,-2.781720701831089
