type,collection_name,version,aliases,full_name,created_at
episode_data,episode-distance_abstract_llama31_8b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-07:latest,2026-05-05T19:57:50+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-08:latest,2026-05-05T19:58:33+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-09:latest,2026-05-05T19:58:53+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-00:latest,2026-05-05T20:00:32+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-01:latest,2026-05-05T20:00:46+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-02:latest,2026-05-05T20:01:10+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-03:latest,2026-05-05T20:01:12+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-04:latest,2026-05-05T20:01:20+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-05:latest,2026-05-05T20:01:44+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-06:latest,2026-05-05T20:01:54+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-07:latest,2026-05-05T20:02:19+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-08:latest,2026-05-05T20:02:35+00:00
episode_data,episode-distance_abstract_mistral_7b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_mistral_7b_10runs-09:latest,2026-05-05T20:02:43+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-00:latest,2026-05-05T19:30:04+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-01:latest,2026-05-05T19:30:19+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-02:latest,2026-05-05T19:30:33+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-03:latest,2026-05-05T19:30:46+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-04:latest,2026-05-05T19:31:01+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-05:latest,2026-05-05T19:31:15+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-06:latest,2026-05-05T19:31:28+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-07:latest,2026-05-05T19:31:42+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-08:latest,2026-05-05T19:31:45+00:00
episode_data,episode-distance_abstract_qwen25_3b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_3b_10runs-09:latest,2026-05-05T19:31:47+00:00
