episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,69,-5.362828749612655
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,69,-1.8897194526452612
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,human,42,-1.7161533777688367
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,42,-4.063648712781534
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,42,-3.348758323144124
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,42,-3.676442582824137
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,42,-3.2883447696677606
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,42,-3.0413490548213558
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,42,-3.0952532418134546
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,42,-3.231302944483218
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,42,-3.5298260518722717
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,42,-3.5435680468121484
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,42,-2.703263362098323
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,42,-4.121525738999235
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,42,-2.399662723399408
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,human,58,-1.3876877235320935
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,58,-4.266332456363684
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,58,-3.76570680292881
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,58,-3.3857743912223635
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,58,-2.434036331779964
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,58,-2.5541896073951516
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,58,-3.284196856642757
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,58,-2.2598230751220574
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,58,-3.8669068212113498
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,58,-3.1350827298576815
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,58,-2.257481290261271
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,58,-4.322768791557815
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,58,-1.989845600845827
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,human,23,-1.6581950120773585
