episode_id,source,modality,prompt_condition,condition,model,length,true_hmm_group,pred_hmm_group,is_correct,best_mean_loglik_per_step
model_067,model,chart,normal,chart_normal,qwen25_vl_7b,5,qwen25_vl_7b__chart__normal,qwen25_vl_3b__chart__student,False,-1.0656247686759357
model_068,model,chart,normal,chart_normal,qwen25_vl_7b,5,qwen25_vl_7b__chart__normal,qwen35_9b__text__normal,False,-1.5035438390955709
model_069,model,chart,normal,chart_normal,qwen25_vl_3b,29,qwen25_vl_3b__chart__normal,qwen25_vl_3b__chart__normal,True,-1.1245058029939357
model_070,model,chart,normal,chart_normal,qwen25_vl_3b,10,qwen25_vl_3b__chart__normal,qwen25_vl_7b__simulation__normal,False,-1.2699629275059383
model_071,model,chart,normal,chart_normal,qwen25_vl_7b,7,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-2.0599418625682584
model_072,model,chart,normal,chart_normal,qwen25_vl_7b,12,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-1.257632095760983
model_073,model,chart,normal,chart_normal,qwen25_vl_3b,9,qwen25_vl_3b__chart__normal,qwen25_vl_3b__simulation__normal,False,-0.6242445840755109
model_074,model,chart,normal,chart_normal,qwen25_vl_7b,5,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-1.6653241822431568
model_075,model,chart,normal,chart_normal,qwen25_vl_7b,20,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-1.4086566613520106
model_076,model,text,normal,text_normal,qwen35_9b,11,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-1.5635729762054211
model_077,model,text,normal,text_normal,qwen35_9b,12,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-1.198134526156123
model_078,model,text,normal,text_normal,qwen35_4b,6,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-1.1705650518209492
model_079,model,text,normal,text_normal,qwen35_9b,5,qwen35_9b__text__normal,qwen35_4b__text__normal,False,-0.9739825911906331
model_080,model,text,normal,text_normal,qwen35_9b,7,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-1.0967444494532625
model_081,model,text,normal,text_normal,qwen35_9b,6,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-1.254060571426793
model_082,model,text,normal,text_normal,qwen35_4b,5,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-0.9739824767426603
model_083,model,text,normal,text_normal,qwen35_9b,10,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-1.1796507814523585
